,City
440,gunjur
441,carauari
442,zapolyarnyy
443,bang sao thong
444,ust-kuyga
445,chastoozerye
446,victor harbor
447,imbituba
448,yerbogachen
449,tual
450,petatlan
451,san ignacio de sabaneta
452,durusu
453,matay
454,nianzishan
455,umm kaddadah
456,calceta
457,borba
458,manicore
459,karpathos
460,lephepe
461,danjiangkou
462,port blair
463,agadir
464,singaraja
465,kloulklubed
466,marawi
467,plettenberg bay
468,lufilufi
469,hamilton
470,mount pleasant
471,coquimbo
472,palmas
473,kumluca
474,hayden
475,olenegorsk
476,nuevitas
477,itanhaem
478,xining
479,lotoshino
480,comodoro rivadavia
481,san juan bautista
482,nanortalik
483,port hawkesbury
484,coffs harbour
485,kamenka
486,shingu
487,madona
488,khonuu
489,krasnyye chetai
490,dunedin
491,grindavik
492,luau
493,hearst
494,aykhal
495,geraldton
496,sinnamary
497,husavik
498,raudeberg
499,yekepa
500,batagay-alyta
501,gympie
502,saint-francois
503,volkhovskiy
504,lata
505,sao miguel do iguacu
506,cove
507,kautokeino
508,ust-ishim
509,sanmenxia
510,ranong
511,zhangjiakou
512,dukhovnitskoye
513,bilma
514,yavaros
515,malmesbury
516,kuroiso
517,maues
518,cusuna
519,dolbeau
520,handlova
521,forbes
522,norman wells
523,kapit
524,santa maria del oro
525,qasigiannguit
526,rabo de peixe
527,kothapet
528,beyneu
529,tumannyy
530,pembroke
531,srivardhan
532,broager
533,lavrentiya
534,gao
535,bumba
536,piopio
537,petropavlovsk-kamchatskiy
538,komsomolskiy
539,uvarovo
540,menongue
541,naze
542,kidal
543,foso
544,menomonie
545,waipawa
546,ishigaki
547,santo antonio do ica
548,nguiu
549,truckee
550,canta
551,faya
552,wilmington
553,sangar
554,buta
555,tunduru
556,plouzane
557,mehamn
558,hambantota
559,tommot
560,kajaani
561,norrkoping
562,aligudarz
563,erzin
564,tasbuget
565,sharjah
566,yetkul
567,anchorage
568,luena
569,guymon
570,odienne
571,scottsburgh
572,kushiro
573,ijaki
574,kracheh
575,qandala
576,mahibadhoo
577,villa union
578,brusturoasa
579,kolondieba
580,moron
581,gouyave
582,saleilua
583,batticaloa
584,normandin
585,vila velha
586,vegreville
587,dovers
588,araouane
589,lopadea noua
590,peterhead
591,jermuk
592,sanchor
593,pitimbu
594,muli
595,luganville
596,araguacu
597,rawson
598,hasaki
599,ternate
600,beauvais
601,aquiraz
