authors,category/genre,description,id_book,image_url,isbn,language,num_pages,published_date,publisher,reviews,sub_category,title,ratings_count,reviews_count,text_reviews_count,average_rating
['Riley Sager'],Fiction,"THE INSTANT NEW YORK TIMES BESTSELLER Parade, “The Most Anticipated Books of Summer 2019 ” and “The Best Beach Reads of Summer 2019” Good Housekeeping, ""Best New Books for Summer 2019"" PureWow “The Best Beach Reads of Summer 2019” BookBub “Books That Will Make the Perfect Addition to Your Beach Bag This Summer” The next heart-pounding thriller from New York Times bestselling author Riley Sager follows a young woman whose new job apartment sitting in one of New York’s oldest and most glamorous buildings may cost more than it pays. No visitors. No nights spent away from the apartment. No disturbing the other residents, all of whom are rich or famous or both. These are the only rules for Jules Larsen’s new job as an apartment sitter at the Bartholomew, one of Manhattan's most high-profile and mysterious buildings. Recently heartbroken and just plain broke, Jules is taken in by the splendor of her surroundings and accepts the terms, ready to leave her past life behind. As she gets to know the residents and staff of the Bartholomew, Jules finds herself drawn to fellow apartment sitter Ingrid, who comfortingly reminds her of the sister she lost eight years ago. When Ingrid confides that the Bartholomew is not what it seems and the dark history hidden beneath its gleaming facade is starting to frighten her, Jules brushes it off as a harmless ghost story . . . until the next day, when Ingrid disappears. Searching for the truth about Ingrid’s disappearance, Jules digs deeper into the Bartholomew's sordid past and into the secrets kept within its walls. What she discovers pits Jules against the clock as she races to unmask a killer, expose the building’s hidden past, and escape the Bartholomew before her temporary status becomes permanent.",pLNzDwAAQBAJ,http://books.google.com/books/content?id=pLNzDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9781524745158,en,381, ,Penguin,"{'ratings_count': 45228, 'reviews_count': 141017, 'text_reviews_count': 7489, 'average_rating': '3.95', 'rating_dist': {'5-stars': '13460', '4-stars': '19327', '3-stars': '9644', '2-stars': '2277', '1-star': '520'}}",thriller,Lock Every Door,45228,141017,7489,3.95
['C. J. Box'],Fiction,"Wyoming game warden Joe Pickett encounters bad behavior on his own turf--only to have the FBI and the DOJ ask him to stand down--in the thrilling new novel from #1 New York Times-bestselling author C.J. Box. The good news is that Joe Pickett has his job back, after his last adventure in The Disappeared. The bad news is that he's come to learn that a drone is killing wildlife--and the drone belongs to a mysterious and wealthy man whose son is dating Joe's own daughter, Lucy. When Joe tries to lay down the rules for the drone operator, he's asked by the FBI and the DOJ to stand down, which only makes him more suspicious. Meanwhile, bodies are piling up in and around Joe's district in shocking numbers. He begins to fear that a pack of four vicious killers working on behalf of the Sinaloa cartel known as the Wolf Pack has arrived. Their target seems to be the mystery man and everyone--including Joe, Nate, and others--who is associated with him. Teaming up with a female game warden (based on a real person, one of the few female game wardens at work in Wyoming today) to confront these assassins, Joe finds himself in the most violent and dangerous predicament he's ever faced.",TkFkDwAAQBAJ,http://books.google.com/books/content?id=TkFkDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9780525538202,en,384, ,Penguin,"{'ratings_count': 8876, 'reviews_count': 18224, 'text_reviews_count': 913, 'average_rating': '4.40', 'rating_dist': {'5-stars': '4690', '4-stars': '3209', '3-stars': '822', '2-stars': '109', '1-star': '46'}}",mystery,Wolf Pack,8876,18224,913,4.40
['Marie Benedict'],Fiction,"From Marie Benedict, the New York Times bestselling author of The Only Woman in the Room! An incredible novel that focuses on one of the people who had the most influence during World War I and World War II: Clementine Churchill. In 1909, Clementine steps off a train with her new husband, Winston. An angry woman emerges from the crowd to attack, shoving him in the direction of an oncoming train. Just before he stumbles, Clementine grabs him by his suit jacket. This will not be the last time Clementine Churchill will save her husband. Lady Clementine is the ferocious story of the ambitious woman beside Winston Churchill, the story of a partner who did not flinch through the sweeping darkness of war, and who would not surrender either to expectations or to enemies. Also by Marie Benedict: The Only Woman in the Room The Other Einstein Carnegie's Maid Praise for Lady Clementine: ""Benedict is a true master at weaving the threads of the past into a compelling story for today. Here is the fictionalized account of the person who was the unequivocal wind beneath Winston Churchill's wings — a woman whose impact on the world-shaper that was WW2 has been begging to be told. A remarkable story of remarkable woman.""—Susan Meissner, bestselling author of The Last Year of the War ""The atmospheric prose of Marie Benedict draws me in every single time. Lady Clementine's powerful and spirited story is both compelling and immersive. Benedict fully inhabits the measured and intelligent voice of Clementine Churchill. Entranced throughout, I discovered the secrets behind a familiar story I thought I knew. Deftly moving from the early nineteen hundreds through World War II, Benedict skillfully paints a vivid picture of the times and life of Clementine, the remarkable woman who was the steady force beside Winston Churchill."" —Patti Callahan Henry, New York Times bestselling author of Becoming Mrs. Lewis ""In her latest novel, Lady Clementine, Marie Benedict has gifted us all with another thoughtful and illuminating behind-the-scenes look at one of history's most unusual and extraordinary women. Benedict stuns readers with a glorious assortment of Clementine Churchill's most personal secrets: her scandalous childhood, her unexpected role as a social outsider, her maternal insecurities, and the daily struggles she faces to smooth her husband's political blunders and to keep up with his relentless demands for guidance and attention. With a historian's eye and a writer's heart, Benedict provides an unforgettable glimpse into the private world of a brilliant woman whose impact and influence on world events deserves to be acknowledged.""—Lynda Cohen Loigman, USA TODAY author of The Two-Family House and The Wartime Sisters",y9SwDwAAQBAJ,http://books.google.com/books/content?id=y9SwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9781492666912,en,, ,"Sourcebooks, Inc.","{'ratings_count': 2925, 'reviews_count': 21381, 'text_reviews_count': 572, 'average_rating': '3.69', 'rating_dist': {'5-stars': '561', '4-stars': '1204', '3-stars': '920', '2-stars': '184', '1-star': '56'}}",historical-fiction,Lady Clementine,2925,21381,572,3.69
['Джоджо Мойес'],Fiction,"Почти столетие разделяет Софи Лефевр и Лив Халстон. Но их объединяет решимость бороться до последнего за то, что им дороже всего в жизни. Картина «Девушка, которую ты покинул» для Софи — напоминание о счастливых годах, прожитых с мужем, талантливым художником, в Париже начала XX века. Ведь на этом полотне супруг изобразил именно ее, молодую и прекрасную. Для Лив Халстон, живущей в наши дни, портрет Софи — это свадебный подарок, сделанный незадолго до смерти ее горячо любимым мужем. Случайная встреча раскрывает глаза Лив на истинную ценность картины, а когда она узнает историю полотна, ее жизнь меняется навсегда... Книги Джоджо Мойес переведены на многие языки мира, регулярно входят в список бестселлеров «Нью-Йорк таймс», а права на их экранизацию покупают ведущие киностудии Голливуда. Впервые на русском языке!",sTmJAAAAQBAJ,http://books.google.com/books/content?id=sTmJAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9785389065499,ru,490, ,Азбука-Аттикус,"{'ratings_count': 128332, 'reviews_count': 292867, 'text_reviews_count': 9778, 'average_rating': '3.98', 'rating_dist': {'5-stars': '44644', '4-stars': '50541', '3-stars': '23607', '2-stars': '5486', '1-star': '4054'}}",historical-fiction,"Девушка, которую ты покинул",128332,292867,9778,3.98
['Mariama Bâ'],Fiction,"An intense and poised novel in the form of a letter written by Ramatoulaye, who has recently been widowed.",zA51b1qCgCEC,http://books.google.com/books/content?id=zA51b1qCgCEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0435905554,en,90, ,Heinemann,"{'ratings_count': 6528, 'reviews_count': 17867, 'text_reviews_count': 578, 'average_rating': '3.92', 'rating_dist': {'5-stars': '2046', '4-stars': '2472', '3-stars': '1552', '2-stars': '354', '1-star': '104'}}",fiction,So Long a Letter,6528,17867,578,3.92
['Nora Roberts'],Fiction,"#1 NEW YORK TIMES BESTSELLER (December 2017) A stunning new novel from the #1 New York Times bestselling author Nora Roberts—Year One is an epic of hope and horror, chaos and magick, and a journey that will unite a desperate group of people to fight the battle of their lives... It began on New Year’s Eve. The sickness came on suddenly, and spread quickly. The fear spread even faster. Within weeks, everything people counted on began to fail them. The electrical grid sputtered; law and government collapsed—and more than half of the world’s population was decimated. Where there had been order, there was now chaos. And as the power of science and technology receded, magick rose up in its place. Some of it is good, like the witchcraft worked by Lana Bingham, practicing in the loft apartment she shares with her lover, Max. Some of it is unimaginably evil, and it can lurk anywhere, around a corner, in fetid tunnels beneath the river—or in the ones you know and love the most. As word spreads that neither the immune nor the gifted are safe from the authorities who patrol the ravaged streets, and with nothing left to count on but each other, Lana and Max make their way out of a wrecked New York City. At the same time, other travelers are heading west too, into a new frontier. Chuck, a tech genius trying to hack his way through a world gone offline. Arlys, a journalist who has lost her audience but uses pen and paper to record the truth. Fred, her young colleague, possessed of burgeoning abilities and an optimism that seems out of place in this bleak landscape. And Rachel and Jonah, a resourceful doctor and a paramedic who fend off despair with their determination to keep a young mother and three infants in their care alive. In a world of survivors where every stranger encountered could be either a savage or a savior, none of them knows exactly where they are heading, or why. But a purpose awaits them that will shape their lives and the lives of all those who remain. The end has come. The beginning comes next.",NVAeDgAAQBAJ,http://books.google.com/books/content?id=NVAeDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9781250122988,en,432, ,St. Martin's Press,"{'ratings_count': 57787, 'reviews_count': 157979, 'text_reviews_count': 6017, 'average_rating': '4.03', 'rating_dist': {'5-stars': '24286', '4-stars': '18563', '3-stars': '9532', '2-stars': '3218', '1-star': '2188'}}",fantasy,Year One,57787,157979,6017,4.03
['Nora Roberts'],Fiction,"The #1 New York Times bestselling author of Year One and Of Blood and Bone concludes her stunning new trilogy praised as “A match for end-of-the-world classics like Stephen King’s The Stand.” After the sickness known as the Doom destroyed civilization, magick has become commonplace, and Fallon Swift has spent her young years learning its ways. Fallon cannot live in peace until she frees those who have been preyed upon by the government or the fanatical Purity Warriors, endlessly hunted or locked up in laboratories, brutalized for years on end. She is determined to save even those who have been complicit with this evil out of fear or weakness—if, indeed, they can be saved. Strengthened by the bond she shares with her fellow warrior, Duncan, Fallon has already succeeded in rescuing countless shifters and elves and ordinary humans. Now she must help them heal—and rediscover the light and faith within themselves. For although from the time of her birth, she has been The One, she is still only one. And as she faces down an old nemesis, sets her sights on the enemy’s stronghold, and pursues her destiny—to finally restore the mystical shield that once protected them all—she will need an army behind her...",JzV9DwAAQBAJ,http://books.google.com/books/content?id=JzV9DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9781250123060,en,455, ,St. Martin's Press,"{'ratings_count': 12226, 'reviews_count': 40506, 'text_reviews_count': 1346, 'average_rating': '4.16', 'rating_dist': {'5-stars': '5517', '4-stars': '3969', '3-stars': '2045', '2-stars': '543', '1-star': '152'}}",fantasy,The Rise of Magicks,12226,40506,1346,4.16
['Jodi Picoult'],Fiction,"From the #1 New York Times bestselling author of Small Great Things and the modern classics My Sister’s Keeper, The Storyteller, and more, comes a “complex, compassionate, and smart” (The Washington Post) novel about a family torn apart by a murder accusation. When your son can’t look you in the eye…does that mean he’s guilty? Jacob Hunt is a teen with Asperger’s syndrome. He’s hopeless at reading social cues or expressing himself well to others, though he is brilliant in many ways. He has a special focus on one subject—forensic analysis. A police scanner in his room clues him in to crime scenes, and he’s always showing up and telling the cops what to do. And he’s usually right. But when Jacob’s small hometown is rocked by a terrible murder, law enforcement comes to him. Jacob’s behaviors are hallmark Asperger’s, but they look a lot like guilt to the local police. Suddenly the Hunt family, who only want to fit in, are thrust directly in the spotlight. For Jacob’s mother, it’s a brutal reminder of the intolerance and misunderstanding that always threaten her family. For his brother, it’s another indication why nothing is normal because of Jacob. And for the frightened small town, the soul-searing question looms: Did Jacob commit murder? House Rules is “a provocative story in which [Picoult] explores the pain of trying to comprehend the people we love—and reminds us that the truth often travels in disguise” (People).",S3K3UK09ZuoC,http://books.google.com/books/content?id=S3K3UK09ZuoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9781439199312,en,544, ,Simon and Schuster,"{'ratings_count': 140354, 'reviews_count': 222219, 'text_reviews_count': 11066, 'average_rating': '4.03', 'rating_dist': {'5-stars': '48543', '4-stars': '55636', '3-stars': '28725', '2-stars': '6120', '1-star': '1330'}}",fiction,House Rules,140354,222219,11066,4.03
['Ray Bradbury'],Fiction,"Ray Bradbury’s internationally acclaimed novel Fahrenheit 451 is a masterwork of twentieth-century literature set in a bleak, dystopian future. Ray Bradbury’s internationally acclaimed novel Fahrenheit 451 is a masterwork of twentieth-century literature set in a bleak, dystopian future. Guy Montag is a fireman. In his world, where television rules and literature is on the brink of extinction, firemen start fires rather than put them out. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they are hidden. Montag never questions the destruction and ruin his actions produce, returning each day to his bland life and wife, Mildred, who spends all day with her television “family.” But then he meets an eccentric young neighbor, Clarisse, who introduces him to a past where people didn’t live in fear and to a present where one sees the world through the ideas in books instead of the mindless chatter of television. When Mildred attempts suicide and Clarisse suddenly disappears, Montag begins to question everything he has ever known. He starts hiding books in his home, and when his pilfering is discovered, the fireman has to run for his life.",OYtkbGl2j0sC,http://books.google.com/books/content?id=OYtkbGl2j0sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9781439142677,en,208, ,Simon and Schuster,"{'ratings_count': 1555253, 'reviews_count': 2491342, 'text_reviews_count': 44380, 'average_rating': '3.99', 'rating_dist': {'5-stars': '564929', '4-stars': '561754', '3-stars': '308040', '2-stars': '83838', '1-star': '36692'}}",fiction,Fahrenheit 451,1555253,2491342,44380,3.99
['J.K. Rowling'],Juvenile Fiction,"There it was, hanging in the sky above the school: the blazing green skull with a serpent tongue, the mark Death Eaters left behind whenever they had entered a building... wherever they had murdered... When Dumbledore arrives at Privet Drive one summer night to collect Harry Potter, his wand hand is blackened and shrivelled, but he does not reveal why. Secrets and suspicion are spreading through the wizarding world, and Hogwarts itself is not safe. Harry is convinced that Malfoy bears the Dark Mark: there is a Death Eater amongst them. Harry will need powerful magic and true friends as he explores Voldemort's darkest secrets, and Dumbledore prepares him to face his destiny...",qaKkenvL29UC,http://books.google.com/books/content?id=qaKkenvL29UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9781781100257,en,672, ,Pottermore Publishing,"{'ratings_count': 2274701, 'reviews_count': 2856192, 'text_reviews_count': 36121, 'average_rating': '4.57', 'rating_dist': {'5-stars': '1528776', '4-stars': '552190', '3-stars': '158894', '2-stars': '25102', '1-star': '9739'}}",fantasy,Harry Potter and the Half-Blood Prince,2274701,2856192,36121,4.57
['Fiona Davis'],Fiction,"Enter the lush world of 1950s New York City, where a generation of aspiring models, secretaries, and editors live side by side in the glamorous Barbizon Hotel for Women while attempting to claw their way to fairy-tale success in this debut novel from the national bestselling author of The Chelsea Girls. “Rich both in twists and period detail, this tale of big-city ambition is impossible to put down.”—People When she arrives at the famed Barbizon Hotel in 1952, secretarial school enrollment in hand, Darby McLaughlin is everything her modeling agency hall mates aren't: plain, self-conscious, homesick, and utterly convinced she doesn't belong—a notion the models do nothing to disabuse. Yet when Darby befriends Esme, a Barbizon maid, she's introduced to an entirely new side of New York City: seedy downtown jazz clubs where the music is as addictive as the heroin that's used there, the startling sounds of bebop, and even the possibility of romance. Over half a century later, the Barbizon's gone condo and most of its long-ago guests are forgotten. But rumors of Darby's involvement in a deadly skirmish with a hotel maid back in 1952 haunt the halls of the building as surely as the melancholy music that floats from the elderly woman's rent-controlled apartment. It's a combination too intoxicating for journalist Rose Lewin, Darby's upstairs neighbor, to resist—not to mention the perfect distraction from her own imploding personal life. Yet as Rose's obsession deepens, the ethics of her investigation become increasingly murky, and neither woman will remain unchanged when the shocking truth is finally revealed.",JKRcCwAAQBAJ,http://books.google.com/books/content?id=JKRcCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9781101985007,en,288, ,Penguin,"{'ratings_count': 26714, 'reviews_count': 73895, 'text_reviews_count': 2727, 'average_rating': '3.76', 'rating_dist': {'5-stars': '5346', '4-stars': '11682', '3-stars': '7811', '2-stars': '1611', '1-star': '264'}}",historical-fiction,The Dollhouse,26714,73895,2727,3.76
['Amy Tan'],Fiction,"Encompassing two generations and a rich blend of Chinese and American history, the story of four struggling, strong women also reveals their daughter's memories and feelings.",2mgnEzzaJrIC,http://books.google.com/books/content?id=2mgnEzzaJrIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0143038095,en,288, ,Penguin,"{'ratings_count': 581541, 'reviews_count': 804883, 'text_reviews_count': 8665, 'average_rating': '3.92', 'rating_dist': {'5-stars': '190780', '4-stars': '217823', '3-stars': '125859', '2-stars': '31785', '1-star': '15294'}}",fiction,The Joy Luck Club,581541,804883,8665,3.92
